well,time_s,temperature_c,wavelength_nm,absorbance_a490,compound_id,concentration_uM,role,bucket,replicate,functional_class
A12,270.0,36.9,490,0.041,,,,,,
A12,300.0,36.9,490,0.04,,,,,,
A12,330.0,36.9,490,0.039,,,,,,
A12,360.0,36.9,490,0.04,,,,,,
A12,390.0,36.9,490,0.041,,,,,,
A12,420.0,36.9,490,0.041,,,,,,
A12,450.0,36.9,490,0.042,,,,,,
A12,480.0,36.9,490,0.041,,,,,,
A12,510.0,36.9,490,0.041,,,,,,
A12,540.0,36.9,490,0.041,,,,,,
A12,570.0,36.9,490,0.041,,,,,,
A12,600.0,36.9,490,0.04,,,,,,
A12,630.0,36.9,490,0.04,,,,,,
A12,660.0,36.9,490,0.037,,,,,,
A12,690.0,36.9,490,0.041,,,,,,
A12,720.0,36.9,490,0.04,,,,,,
A12,750.0,36.9,490,0.041,,,,,,
A12,780.0,36.9,490,0.04,,,,,,
A12,840.0,36.9,490,0.04,,,,,,
B1,0.0,36.9,490,0.041,,,,,,
B1,30.0,36.9,490,0.041,,,,,,
B1,60.0,36.9,490,0.039,,,,,,
B1,90.0,36.9,490,0.039,,,,,,
B1,120.0,36.9,490,0.04,,,,,,
B1,150.0,36.9,490,0.042,,,,,,
B1,180.0,36.9,490,0.042,,,,,,
B1,210.0,36.9,490,0.041,,,,,,
B1,240.0,36.9,490,0.041,,,,,,
B1,270.0,36.9,490,0.041,,,,,,
B1,300.0,36.9,490,0.04,,,,,,
B1,330.0,36.9,490,0.04,,,,,,
B1,360.0,36.9,490,0.04,,,,,,
B1,390.0,36.9,490,0.042,,,,,,
B1,420.0,36.9,490,0.04,,,,,,
B1,450.0,36.9,490,0.04,,,,,,
B1,480.0,36.9,490,0.041,,,,,,
B1,510.0,36.9,490,0.04,,,,,,
B1,540.0,36.9,490,0.041,,,,,,
B1,570.0,36.9,490,0.042,,,,,,
B1,600.0,36.9,490,0.04,,,,,,
B1,630.0,36.9,490,0.043,,,,,,
B1,660.0,36.9,490,0.038,,,,,,
B1,690.0,36.9,490,0.04,,,,,,
B1,720.0,36.9,490,0.04,,,,,,
B1,750.0,36.9,490,0.041,,,,,,
B1,780.0,36.9,490,0.04,,,,,,
B1,840.0,36.9,490,0.041,,,,,,
B2,0.0,36.9,490,0.051,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,30.0,36.9,490,0.053,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,60.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,90.0,36.9,490,0.053,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,120.0,36.9,490,0.052,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,150.0,36.9,490,0.052,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,180.0,36.9,490,0.052,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,210.0,36.9,490,0.051,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,240.0,36.9,490,0.051,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,270.0,36.9,490,0.053,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,300.0,36.9,490,0.051,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,330.0,36.9,490,0.052,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,360.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,390.0,36.9,490,0.058,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,420.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,450.0,36.9,490,0.053,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,480.0,36.9,490,0.054,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,510.0,36.9,490,0.054,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,540.0,36.9,490,0.054,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,570.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,600.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,630.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,660.0,36.9,490,0.054,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,690.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,720.0,36.9,490,0.055,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,750.0,36.9,490,0.056,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,780.0,36.9,490,0.056,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B2,840.0,36.9,490,0.056,T1262,1.0,sample,tier1_inhibitor,1.0,positive
B3,0.0,36.9,490,0.049,,,,,,
B3,30.0,36.9,490,0.048,,,,,,
B3,60.0,36.9,490,0.047,,,,,,
B3,90.0,36.9,490,0.047,,,,,,
B3,120.0,36.9,490,0.048,,,,,,
B3,150.0,36.9,490,0.048,,,,,,
B3,180.0,36.9,490,0.048,,,,,,
B3,210.0,36.9,490,0.048,,,,,,
B3,240.0,36.9,490,0.049,,,,,,
B3,270.0,36.9,490,0.05,,,,,,
B3,300.0,36.9,490,0.049,,,,,,
B3,330.0,36.9,490,0.049,,,,,,
B3,360.0,36.9,490,0.049,,,,,,
B3,390.0,36.9,490,0.05,,,,,,
B3,420.0,36.9,490,0.049,,,,,,
B3,450.0,36.9,490,0.049,,,,,,
B3,480.0,36.9,490,0.049,,,,,,
B3,510.0,36.9,490,0.05,,,,,,
B3,540.0,36.9,490,0.051,,,,,,
B3,570.0,36.9,490,0.05,,,,,,
B3,600.0,36.9,490,0.051,,,,,,
B3,630.0,36.9,490,0.05,,,,,,
B3,660.0,36.9,490,0.049,,,,,,
B3,690.0,36.9,490,0.051,,,,,,
B3,720.0,36.9,490,0.052,,,,,,
B3,750.0,36.9,490,0.052,,,,,,
B3,780.0,36.9,490,0.051,,,,,,
B3,840.0,36.9,490,0.053,,,,,,
B4,0.0,36.9,490,0.055,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,30.0,36.9,490,0.056,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,60.0,36.9,490,0.055,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,90.0,36.9,490,0.055,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,120.0,36.9,490,0.057,T6685,50.0,sample,tier1_inhibitor,1.0,positive
